Surveynam1,Surveynam2,Quarter,Country,Sea,LFI_threshold
GNSIntOT1 ,IBTS,1,Int,GNS,NA
GNSIntOT3,IBTS,3,Int,GNS,NA
WASpaOT3,SP-PORC,3,Spa,NA,NA
BBICnSpaOT4,SP-NORTH,4,Spa,NA,NA
BBICsSpaOT1,SP-ARSA,1,Spa,NA,NA
BBICsSpaOT4,SP-ARSA,4,Spa,NA,NA
BBICPorOT4,PT-IBTS,4,Por,NA,NA
CSIreOT4,IE-IGFS,4,Ire,CS,NA
CSNIrOT1,NIGFS,1,NIr,CS,NA
CSNIrOT4,NIGFS,4,NIr,CS,NA
CSScoOT1,SCOWCGFS,1,Sco,CS,NA
CSScoOT4,SCOWCGFS,4,Sco,CS,NA
CSScoOT1,SWC_IBTS,1,Sco,CS,NA
CSScoOT4,SWC_IBTS,4,Sco,CS,NA
WAScoOT3,SCOROC,3,Sco,NA,NA
GNSFraOT4,FR-CGFS,1,Fra,GNS,NA
CSFraBT3,BTS-VIII,3,Fra,CS,NA
CSFraOT4,EVHOE,4,Fra,CS,NA
CSBBFraOT4,EVHOE,4,Fra,CS,NA
GNSEngBT3,BTS,3,Eng,GNS,NA
CSEngBT3,BTS,3,Eng,CS,NA
CSEngBT4,BTS,4,Eng,CS,NA
GNSGerBT3,BTS,3,Ger,GNS,NA
GNSNetBT3,BTS,3,Net,GNS,NA
GNSBelBT3,BTS,3,Bel,GNS,NA
